"food_id","name","category","diet_type","meal_type","best_time_window","quantity","quantity_unit","calories","protein_g","carbs_g","fat_g","fiber_g","iron_mg","calcium_mg","sodium_mg","potassium_mg","vitamin_d_mcg","sugars_g","glycemic_index","health_score","tags","goal_tags","common_allergies","preparation_method","doctor_note","avoid_for","ayurvedic_property","digestibility","best_paired_with","state_origin"
79,"Peanut Butter (natural)","fat","veg","breakfast;snack","7-9 AM",1.0,"tablespoon",94,4.0,3.0,8.0,1.0,0.3,7,3,107,0.0,1.0,"low",8,"nuts;protein;healthy-fat","maintenance;muscle_gain","nuts","ground peanuts","Choose natural no sugar; 1-2 tbsp max per day","nut allergy;weight loss","warm","easy","bread;banana","Pan-India"
80,"Ghee (desi)","fat","veg","lunch;dinner","12-2 PM",1.0,"teaspoon",45,0.0,0.0,5.0,0.0,0.0,0,0,0,0.2,0.0,"low",7,"dairy;healthy-fat;ayurvedic","maintenance","dairy","clarified butter","Ayurvedic gold; 1 tsp per meal; improves fat-soluble vitamin absorption","heart disease (excess);weight loss (excess)","warm","easy","dal;roti","Pan-India"
81,"Flaxseeds","fat","veg","breakfast;snack","7-9 AM",1.0,"tablespoon",55,2.0,3.0,4.0,2.8,0.6,26,4,84,0.0,0.0,"low",10,"seeds;omega-3;fiber;lignans","fat_loss;maintenance;heart_healthy","none","ground and added to food","Grind before eating; rich omega-3 and fiber; add to smoothie/dahi","none","cool","easy","yogurt;oats","Pan-India"
82,"Chia Seeds","fat","veg","breakfast;snack","7-9 AM",1.0,"tablespoon",58,2.0,5.0,3.5,4.0,1.6,63,5,44,0.0,0.0,"low",10,"seeds;omega-3;fiber;calcium","fat_loss;maintenance;heart_healthy","none","soaked overnight","Soak in water/milk overnight; fiber+omega-3; aids weight loss","none","cool","easy","yogurt;smoothie;water","Pan-India"
83,"Sunflower Seeds","fat","veg","snack","4-5 PM",30.0,"grams",164,5.5,6.8,14.0,2.4,1.5,22,1,325,0.0,0.8,"low",9,"seeds;vitamin-E;magnesium","maintenance;heart_healthy","none","dry roasted","Rich in Vitamin-E; good for skin; eat 2 tbsp daily","none","warm","easy","salad;yogurt","Pan-India"
84,"Pumpkin Seeds","fat","veg","snack","4-5 PM",30.0,"grams",163,8.0,5.0,14.0,1.7,4.2,12,5,240,0.0,0.0,"low",10,"seeds;zinc;magnesium;protein","maintenance;muscle_gain;prostate_health","none","dry roasted","Highest plant zinc source; prostate and immune health","none","warm","easy","salad;snack","Pan-India"
85,"Spinach Palak (cooked)","vegetable","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",41,5.0,7.0,0.5,4.0,3.6,245,126,839,0.0,0.4,"low",10,"leafy;iron;calcium;folate","fat_loss;maintenance;anaemia_prevention","none","cooked or lightly sauteed","Iron powerhouse; eat with Vitamin-C food for better absorption","kidney stones (excess oxalate)","cool","easy","dal;paneer;roti","Pan-India"
86,"Methi (Fenugreek) Leaves","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup cooked",35,3.0,6.0,0.7,3.0,1.9,176,67,400,0.0,0.0,"low",10,"leafy;iron;diabetes-control","fat_loss;maintenance;diabetes_friendly","gluten (in thepla)","cooked or raw salad","Lowers blood sugar; eat regularly; bitter but very healthy","pregnancy (excess)","warm","easy","roti;paratha","Pan-India"
87,"Broccoli (steamed)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",55,4.0,11.0,0.6,5.0,0.7,47,30,457,0.0,2.0,"low",10,"green-veg;vitamin-C;sulforaphane;cancer-preventive","fat_loss;maintenance;muscle_gain","none","steamed 5 min","Do not overcook; sulforaphane is cancer-preventive; eat 3x per week","none","cool","easy","dal;paneer","Pan-India"
88,"Cauliflower (roasted)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",40,3.0,8.0,0.3,3.0,0.4,22,30,320,0.0,2.0,"low",9,"vegetable;vitamin-C;fiber","fat_loss;maintenance","none","roasted or stir-fried","Excellent low-carb substitute for rice/flour","thyroid (raw goitrogen - cook it)","cool","moderate","dal;masala","Pan-India"
89,"Bhindi (Okra) stir-fried","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",80,3.0,14.0,3.0,4.0,0.6,82,8,299,0.0,2.0,"low",9,"vegetable;fiber;blood-sugar","fat_loss;maintenance;diabetes_friendly","none","stir-fried minimal oil","Mucilage helps control blood sugar; good for diabetics","none","warm","easy","roti;dal","Pan-India"
90,"Lauki (Bottle Gourd) cooked","vegetable","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",30,1.2,7.0,0.1,2.0,0.3,26,2,170,0.0,2.0,"low",10,"vegetable;low-cal;hydrating;ayurvedic","fat_loss;maintenance;heart_healthy","none","cooked","96% water; very low calorie; ayurvedic heart tonic; great for dinner","none","cool","easy","dal;roti","Pan-India"
91,"Karela (Bitter Gourd)","vegetable","veg","lunch","12-2 PM",1.0,"cup",24,1.0,5.0,0.2,3.0,0.4,20,14,296,0.0,0.0,"low",10,"vegetable;diabetes-control;ayurvedic","fat_loss;maintenance;diabetes_friendly","none","stir-fried or juice","Best vegetable for diabetics; lowers blood sugar naturally","pregnancy","warm","easy","roti","Pan-India"
92,"Carrot (raw or cooked)","vegetable","veg","lunch;dinner;snack","12-2 PM / 4-5 PM",1.0,"medium",25,0.6,6.0,0.1,2.0,0.3,20,50,195,0.0,3.0,"low",9,"vegetable;beta-carotene;vitamin-A","fat_loss;maintenance;eye_health","none","raw or cooked","Rich in Vitamin-A; eat raw for fiber; cooked for better absorption","none","warm","easy","hummus;dal","Pan-India"
93,"Tomato (raw)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"medium",22,1.1,4.8,0.2,1.5,0.3,10,5,292,0.0,3.0,"low",10,"vegetable;lycopene;vitamin-C;antioxidant","fat_loss;maintenance;heart_healthy","none","raw or cooked","Lycopene is cancer-preventive; cook with oil for better absorption","acid reflux (excess)","cool","easy","salad;curry","Pan-India"
94,"Cucumber (kheera)","vegetable","veg","snack;lunch","4-5 PM / 12-2 PM",1.0,"cup sliced",16,0.7,3.6,0.1,0.5,0.3,17,2,150,0.0,1.7,"low",10,"vegetable;hydrating;low-cal;cooling","fat_loss;maintenance","none","raw","96% water; ideal summer snack; very low calorie","none","cool","easy","curd;lemon salt","Pan-India"
95,"Sweet Potato (Shakarkandi)","carb","veg","lunch;dinner;snack","12-2 PM",1.0,"medium",112,2.0,26.0,0.1,4.0,0.8,30,55,438,0.0,6.0,"medium",9,"carb;beta-carotene;vitamin-A;fiber","fat_loss;maintenance","none","baked or boiled","Eat baked not fried; high in Vitamin-A; better than regular potato","diabetes (in excess)","warm","easy","curd;chaat masala","Pan-India"
96,"Baingan (Eggplant) roasted","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",35,0.8,9.0,0.2,2.5,0.2,9,2,230,0.0,3.5,"low",8,"vegetable;low-cal;antioxidant","fat_loss;maintenance","none","roasted or bharta","Roasted is healthiest; very low calorie; good fiber","none","warm","easy","roti;dal","Pan-India"
97,"Peas (Matar) cooked","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",134,9.0,25.0,0.4,9.0,2.5,43,5,354,0.0,8.0,"low",9,"legume;protein;fiber;vitamin-C","fat_loss;maintenance;muscle_gain","none","cooked","High protein vegetable; vitamin-C rich; versatile","IBS (excess)","warm","easy","paneer;aloo;dal","Pan-India"
98,"Cabbage (cooked)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",35,1.9,8.0,0.1,2.0,0.5,42,13,245,0.0,3.0,"low",10,"vegetable;low-cal;vitamin-C","fat_loss;maintenance","none","cooked or raw","Very low calorie; high Vitamin-C; good for digestion","thyroid (raw - cook it)","cool","easy","dal;sabzi","Pan-India"
99,"Mushroom (cooked)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup",44,3.0,6.0,0.7,2.0,0.5,3,5,356,0.2,2.0,"low",9,"vegetable;vitamin-D;protein;umami","fat_loss;maintenance;muscle_gain","none","stir-fried","Rare plant source of Vitamin-D; immune-boosting; low calorie","none","neutral","easy","pasta;curry;stir-fry","Pan-India"
100,"Onion (raw)","vegetable","veg","lunch;dinner","12-2 PM",1.0,"medium",44,1.2,10.0,0.1,1.9,0.2,23,4,161,0.0,4.7,"low",8,"vegetable;prebiotic;quercetin","fat_loss;maintenance;heart_healthy","none","raw or cooked","Quercetin is anti-inflammatory; raw onion best for heart","none","warm","easy","salad;dal","Pan-India"
101,"Garlic","vegetable","veg","any meal","any",3.0,"cloves",13,0.6,3.0,0.0,0.2,0.1,16,1,36,0.0,0.0,"low",10,"allium;antibiotic;heart-healthy;superfood","fat_loss;maintenance;heart_healthy;immunity","none","raw or cooked","Eat 1-2 raw cloves daily on empty stomach; powerful antibiotic","none","warm","easy","dal;curry","Pan-India"
102,"Ginger","vegetable","veg","any meal","any",10.0,"grams",8,0.2,1.8,0.1,0.2,0.1,2,2,33,0.0,0.2,"low",10,"rhizome;anti-inflammatory;digestive;ayurvedic","fat_loss;maintenance;digestion;immunity","none","raw or cooked or tea","Anti-inflammatory; aids digestion; good for nausea; add to chai","none","warm","easy","chai;curry;lemon water","Pan-India"
103,"Drumstick (Moringa) cooked","vegetable","veg","lunch;dinner","12-2 PM",1.0,"cup cooked",26,2.5,4.7,0.2,2.0,1.2,185,35,460,0.0,0.0,"low",10,"vegetable;superfood;calcium;iron;moringa","fat_loss;maintenance;bone_health;anaemia","none","cooked in sambar/curry","Moringa superfood; 17x more calcium than milk; iron powerhouse","none","warm","easy","sambar;dal","South India"
104,"Rasam","soup","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",50,2.0,8.0,1.0,2.0,0.4,12,800,140,0.0,1.0,"low",10,"tomato;spiced;digestive;light","fat_loss;maintenance;digestion","none","boiled","Excellent digestive; pepper aids metabolism; good for cold/flu","none","warm","easy","rice;idli","South India"
105,"Tomato Soup (homemade)","soup","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",60,2.0,10.0,2.0,2.0,0.5,15,600,300,0.0,4.0,"low",9,"vegetable;lycopene;low-cal","fat_loss;maintenance","none","boiled+blended","Homemade without cream; lycopene rich; low calorie","acid reflux","warm","easy","toast;bread","Pan-India"
106,"Green Tea","drink","veg","snack","7-9 AM / 4-5 PM not empty stomach",1.0,"cup",2,0.0,0.2,0.0,0.0,0.0,0,2,40,0.0,0.0,"low",10,"antioxidant;EGCG;low-cal;metabolism","fat_loss;maintenance;heart_healthy","none","brewed","Rich in EGCG; boosts metabolism; 2-3 cups per day ideal","none","cool","easy","nothing","Pan-India"
107,"Lemon Water (warm)","drink","veg","snack","early morning 6-7 AM empty stomach",1.0,"glass",10,0.1,3.0,0.0,0.1,0.1,6,0,49,0.0,1.0,"low",10,"vitamin-C;detox;alkalizing;low-cal","fat_loss;maintenance;digestion","none","lemon+warm water","Best morning ritual; alkalizes body; aids digestion and fat loss","enamel erosion (direct brush)","cool","easy","nothing","Pan-India"
108,"Coconut Water","drink","veg","snack","10-11 AM / post-workout",1.0,"glass 250ml",46,1.7,9.0,0.5,0.0,0.3,58,105,600,0.0,6.0,"low",10,"hydrating;electrolytes;potassium","fat_loss;maintenance;recovery","none","fresh","Natural electrolyte; post-workout drink; kidney stone prevention","none","cool","easy","nothing","Coastal India"
109,"Turmeric Milk (Haldi Doodh)","drink","veg","snack","9-10 PM",1.0,"glass 250ml",160,7.0,18.0,5.0,0.0,0.2,250,80,320,2.0,15.0,"low",10,"dairy;curcumin;anti-inflammatory;ayurvedic","maintenance;immunity;bone_health","dairy","warm milk+turmeric+pepper","Curcumin is powerful anti-inflammatory; drink at night for recovery","lactose intolerance","warm","easy","nothing","Pan-India"
110,"Buttermilk with Jeera (Masala Chaas)","drink","veg","snack","12-2 PM / 4-5 PM",1.0,"glass 250ml",45,3.0,5.0,1.0,0.0,0.06,120,500,200,0.0,3.0,"low",10,"dairy;probiotic;digestive;cooling","fat_loss;maintenance;digestion","dairy","curd+water+spices","Best summer digestive drink; aids IBS; very low calorie","lactose intolerance","cool","easy","nothing","Pan-India"
111,"Mixed Veg Salad","vegetable","veg","lunch;dinner;snack","12-2 PM / 4-5 PM",2.0,"cups",40,2.0,8.0,0.3,3.0,0.7,35,50,300,0.0,3.0,"low",10,"raw;fiber;vitamins;low-cal","fat_loss;maintenance","none","raw chopped","Eat large salad before meals to reduce calorie intake","none","cool","easy","lemon dressing","Pan-India"
112,"Fruit Chaat","fruit","veg","snack","10-11 AM / 4-5 PM",1.0,"cup",90,1.2,22.0,0.3,4.0,0.5,25,30,280,0.0,14.0,"low",9,"fruit;seasonal;vitamin-C;fiber","fat_loss;maintenance","none","raw with spices","Use chaat masala+lemon; satisfying low-calorie snack","diabetes (sweet fruit)","cool","easy","nothing","Pan-India"
113,"Sprouts Salad","protein","veg","breakfast;snack","7-9 AM / 4-5 PM",1.0,"cup",70,6.0,13.0,0.5,4.5,2.2,30,10,250,0.0,1.0,"low",10,"legume;living-food;superfood","fat_loss;maintenance;muscle_gain","none","sprouted+raw","Enzyme-rich living food; eat 1 cup daily for best nutrition","IBS (raw)","cool","easy","lemon;coriander","Pan-India"
114,"Thali (South Indian)","mixed","veg","lunch","12-2 PM",1.0,"thali",550,18.0,80.0,14.0,12.0,3.0,120,800,700,1.0,4.0,"low",9,"complete-meal;balanced;traditional","maintenance","dairy","multiple preparations","Balanced meal; includes rice+dal+sambar+rasam+curd+sabzi","none","neutral","easy","buttermilk","South India"
115,"Thali (North Indian)","mixed","veg","lunch","12-2 PM",1.0,"thali",650,20.0,90.0,16.0,10.0,3.5,150,600,750,0.5,3.0,"medium",8,"complete-meal;balanced;traditional","maintenance","gluten;dairy","multiple preparations","Roti+dal+sabzi+curd+salad; balanced traditional meal","celiac;lactose","warm","moderate","buttermilk","North India"
116,"Khichdi (moong+rice)","carb","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",220,7.0,40.0,4.0,5.0,2.0,40,8,350,0.0,0.5,"low",10,"rice;lentil;one-pot;complete;easy-digest","fat_loss;maintenance;recovery","none","pressure-cooked","Doctors recommend as therapeutic food; complete protein+carb","none","warm","easy","curd;ghee;pickle","Pan-India"
117,"Pongal (rice+moong)","carb","veg","breakfast;lunch","7-9 AM / 12-2 PM",1.0,"cup",220,7.0,38.0,5.0,5.0,1.5,30,8,280,0.0,0.5,"low",9,"rice;lentil;traditional","maintenance","none","pressure-cooked","South Indian Khichdi; nutritious complete meal","none","warm","easy","sambar;chutney","South India"
118,"Curd Rice (Thayir Sadam)","carb","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",200,7.0,32.0,4.0,1.0,0.3,150,200,250,0.0,5.0,"low",9,"rice;dairy;probiotic;cooling","maintenance;digestion","dairy","cooked rice+curd","Excellent probiotic meal; very easy to digest; good for diarrhoea","lactose intolerance","cool","easy","pickle;papad","South India"
119,"Bajra Roti (Pearl Millet)","carb","veg","breakfast;lunch;dinner","7-9 AM / 12-2 PM / 7-8 PM",2.0,"rotis",190,6.0,38.0,2.0,4.0,3.0,20,2,195,0.0,0.0,"low",10,"millet;gluten-free;iron;calcium","fat_loss;maintenance;diabetes_friendly;heart_healthy","none","dry roasted","Iron and calcium rich; gluten-free; ideal for winter; anti-diabetic","none","warm","easy","lahsun chutney;dal","Rajasthan;Gujarat;Maharashtra"
120,"Jowar Roti (Sorghum)","carb","veg","breakfast;lunch;dinner","7-9 AM / 12-2 PM / 7-8 PM",2.0,"rotis",180,6.0,38.0,2.0,5.0,2.6,13,2,250,0.0,0.0,"low",10,"millet;gluten-free;high-fiber","fat_loss;maintenance;diabetes_friendly","none","dry roasted","High fiber; gluten-free; excellent for diabetics and gut health","none","warm","easy","dal;chutney","Maharashtra;Karnataka;AP"
121,"Ragi (Finger Millet) Porridge","carb","veg","breakfast","7-9 AM",1.0,"cup cooked",180,4.0,35.0,1.0,3.0,3.0,344,5,408,0.0,0.0,"low",10,"millet;calcium;gluten-free","fat_loss;maintenance;diabetes_friendly;bone_health","none","cooked as porridge","Highest calcium grain; ideal for children and elderly; bone health","none","warm","easy","milk;jaggery","Karnataka;AP;TN"
122,"Foxtail Millet (Kangni)","carb","veg","lunch;dinner","12-2 PM",1.0,"cup cooked",200,5.0,38.0,2.0,5.0,1.0,8,3,230,0.0,0.0,"low",9,"millet;gluten-free;low-GI","fat_loss;maintenance;diabetes_friendly","none","pressure-cooked","Low GI; excellent rice substitute; high fiber for diabetics","none","neutral","moderate","dal;sambar","AP;Telangana;South India"
123,"Moong Dal Soup","protein","veg","dinner","7-8 PM",1.0,"cup",120,8.0,20.0,1.0,5.0,2.0,35,600,280,0.0,1.0,"low",10,"lentil;light;weight-loss","fat_loss;maintenance","none","boiled","Best light dinner; high protein low calorie; easy to digest","none","warm","easy","lemon;coriander","Pan-India"
124,"Vegetable Clear Soup","soup","veg","dinner","7-8 PM",1.0,"cup",40,2.0,7.0,0.5,2.0,0.5,20,400,180,0.0,2.0,"low",10,"vegetable;light;low-cal","fat_loss;maintenance","none","boiled","Start dinner with soup; reduces total calorie intake; very light","none","warm","easy","bread","Pan-India"
125,"Grilled Vegetables","vegetable","veg","lunch;dinner","12-2 PM / 7-8 PM",2.0,"cups",60,3.0,11.0,1.0,4.0,1.0,50,20,400,0.0,5.0,"low",10,"vegetable;fiber;low-cal","fat_loss;maintenance","none","grilled","Highest satiety at lowest calories; fill half plate with this","none","warm","easy","dal;chicken","Pan-India"
126,"Overnight Soaked Oats","carb","veg","breakfast","7-9 AM",1.0,"cup",180,7.0,32.0,4.0,5.0,2.0,120,80,250,0.5,5.0,"low",10,"oats;fiber;probiotic;easy","fat_loss;maintenance;muscle_gain;diabetes_friendly;heart_healthy","gluten","soaked overnight in milk/curd","Prepare night before; beta-glucan best when soaked; top with fruits","gluten intolerance","cool","easy","fruits;nuts;chia seeds","Pan-India"
127,"Haldi (Turmeric) spice","spice","veg","any meal","any",1.0,"teaspoon",24,0.7,4.4,0.7,1.4,2.8,12,3,170,0.0,0.0,"low",10,"spice;curcumin;anti-inflammatory;superfood","fat_loss;maintenance;immunity;anti-cancer","none","added to food or milk","Add to every meal; 1 tsp per day; black pepper enhances absorption","none","warm","easy","milk;dal;curry","Pan-India"
128,"Jeera Water (Cumin water)","drink","veg","snack","early morning empty stomach",1.0,"glass",10,0.4,1.2,0.5,0.3,1.4,18,10,38,0.0,0.0,"low",10,"spice;digestive;metabolism","fat_loss;maintenance;digestion","none","boiled jeera+water","Excellent morning drink; boosts metabolism; aids weight loss","none","warm","easy","nothing","Pan-India"
129,"Amla Juice","drink","veg","snack","early morning empty stomach",30.0,"ml",20,0.4,5.0,0.0,1.0,0.1,10,1,80,0.0,0.0,"low",10,"vitamin-C;antioxidant;detox","fat_loss;maintenance;immunity;hair_health","none","extracted juice","Take 30ml daily on empty stomach; powerful immunity booster","none","cool","easy","water;honey","Pan-India"
130,"Methi Dana Water","drink","veg","snack","early morning empty stomach",1.0,"glass",10,0.5,2.0,0.2,0.5,0.4,20,2,50,0.0,0.0,"low",10,"seeds;diabetes-control;ayurvedic","fat_loss;maintenance;diabetes_friendly","none","soaked seeds overnight+strain","Soak 1 tsp fenugreek seeds overnight; drink water; best for diabetics","pregnancy","warm","easy","nothing","Pan-India"
131,"Aam Panna (Raw Mango Drink)","drink","veg","snack","11 AM - 2 PM",1.0,"glass 250ml",60,0.5,15.0,0.0,1.0,0.4,10,25,100,0.0,12.0,"medium",8,"fruit;electrolyte;summer;vitamin-C","fat_loss;maintenance","none","boiled raw mango+spices","Excellent summer cooler; prevents heat stroke; use jaggery not sugar","diabetes (with sugar)","cool","easy","nothing","Pan-India"
132,"Kadha (herbal decoction)","drink","veg","snack","morning or night seasonal",1.0,"cup",20,0.5,4.0,0.2,0.5,0.3,15,5,50,0.0,0.0,"low",10,"herbs;immunity;antiviral;ayurvedic","maintenance;immunity","none","boiled herbs+spices","Tulsi+ginger+pepper+cinnamon+clove; powerful immunity booster","none","warm","easy","honey","Pan-India"
133,"Til (Sesame) Ladoo","fat","veg","snack","winter snack 10-11 AM",1.0,"piece",80,2.0,10.0,4.0,1.5,2.0,88,11,84,0.0,6.0,"medium",7,"seeds;calcium;jaggery;winter","maintenance;bone_health","sesame","mixed with jaggery","High calcium+iron; good winter snack; use jaggery not sugar","sesame allergy","warm","moderate","nothing","Pan-India"
134,"Ragi Halwa (finger millet)","carb","veg","snack","4-5 PM occasional",1.0,"small bowl",200,4.0,35.0,6.0,3.0,3.0,344,6,408,0.0,8.0,"medium",8,"millet;calcium;fiber;gluten-free","maintenance;bone_health","dairy","cooked with jaggery","Highest calcium among grains; good for bones; use jaggery","diabetes (watch qty)","warm","moderate","nothing","Karnataka;AP"
135,"Egg White Omelette with Vegetables","protein","nonveg","breakfast","7-9 AM",3.0,"whites + veg",120,14.0,5.0,3.0,2.0,0.8,30,350,180,0.5,2.0,"low",10,"egg;high-protein;low-fat","fat_loss;muscle_gain","egg","pan-cooked","Zero-yolk = zero fat; add spinach capsicum mushroom","egg allergy","warm","easy","toast;salad","Pan-India"
136,"Chicken Salad (grilled)","protein","nonveg","lunch","12-2 PM",1.0,"bowl",200,30.0,8.0,5.0,3.0,1.0,20,60,400,0.1,3.0,"low",10,"poultry;lean;salad","fat_loss;muscle_gain","none","grilled+raw veg","Best weight-loss lunch; high protein high fiber low carb","none","warm","easy","olive oil dressing","Pan-India"
137,"Egg Salad (boiled + veg)","protein","nonveg","lunch;snack","12-2 PM",1.0,"bowl",180,13.0,8.0,10.0,3.0,1.5,50,200,250,2.0,2.0,"low",9,"egg;protein;salad","fat_loss;maintenance;muscle_gain","egg","boiled+raw veg","Complete protein + raw fiber; ideal weight loss meal","egg allergy","neutral","easy","lemon mustard dressing","Pan-India"
138,"Mint-Coriander Chutney","condiment","veg","any meal","any",2.0,"tablespoon",15,0.6,2.5,0.3,1.0,0.8,15,20,80,0.0,0.0,"low",10,"herbs;digestive;low-cal;antioxidant","fat_loss;maintenance","none","ground fresh herbs","Zero oil version; digestive; antioxidant; use freely","none","cool","easy","any snack","Pan-India"
139,"Moringa Powder (Drumstick)","supplement","veg","any meal","any",1.0,"teaspoon added to food",25,2.0,3.6,0.3,0.8,1.8,185,5,280,0.0,0.0,"low",10,"superfood;calcium;iron;all-nutrients","fat_loss;maintenance;bone_health;immunity","none","powder added to smoothie/curry","Add to dahl smoothie roti dough; most nutrient-dense plant food","pregnancy (excess)","warm","easy","any food","Pan-India"
140,"Ashwagandha Milk","supplement","veg","snack","9-10 PM",1.0,"glass 250ml",175,8.0,20.0,5.0,0.0,0.2,250,80,320,2.0,15.0,"low",9,"dairy;adaptogen;ayurvedic","maintenance;muscle_gain;stress_relief","dairy","warm milk+ashwagandha powder","Powerful adaptogen; reduces cortisol; take at night; improves sleep","pregnancy;lactation","warm","easy","nothing","Pan-India"
141,"Corn (boiled/bhutta)","carb","veg","snack","4-5 PM",1.0,"medium cob",90,3.5,19.0,1.4,2.0,0.5,2,15,270,0.0,3.0,"medium",7,"grain;fiber;antioxidant","maintenance","none","boiled or roasted","Eat boiled not fried; fiber-rich snack; lemon+salt version best","diabetes (excess)","warm","moderate","lemon;chaat masala","Pan-India"
142,"Mixed Vegetables (sabzi)","vegetable","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",80,3.0,12.0,3.0,4.0,1.5,60,300,350,0.0,3.0,"low",9,"vegetables;fiber;vitamins","fat_loss;maintenance","none","stir-fried","Variety is key; seasonal vegetables; minimal oil","none","neutral","easy","roti;dal;rice","Pan-India"
143,"Coconut Chutney (fresh)","condiment","veg","breakfast","7-9 AM",2.0,"tablespoon",80,1.5,4.0,7.0,2.0,0.5,5,5,100,0.0,1.5,"low",7,"coconut;condiment","maintenance","none","ground fresh coconut","Fresh coconut has MCT fats; accompanies South Indian breakfast","none","cool","easy","idli;dosa","South India"
144,"Aloo Tikki (baked)","carb","veg","snack","4-5 PM baked version",2.0,"pieces",100,4.0,18.0,2.0,3.0,0.91,23,50,224,0.0,1.3,"medium",6,"potato;snack","maintenance","none","baked","Baked healthier than fried; potato is nutritious if not over-oiled","diabetes;weight loss","warm","moderate","mint chutney;curd","North India"
145,"Aloo Matar (dry)","carb","veg","lunch;dinner","12-2 PM",1.0,"cup",180,6.0,28.0,5.0,6.0,2.0,40,300,450,0.0,3.0,"medium",7,"potato;peas;protein","maintenance","none","stir-fried","Peas boost protein; eat in moderation","diabetes;weight loss","warm","moderate","roti;rice","Pan-India"
146,"Lauki (Bottle Gourd) Juice","drink","veg","snack","early morning empty stomach",1.0,"glass 250ml",25,0.5,5.0,0.1,1.5,0.2,12,50,100,0.0,2.0,"low",9,"vegetable;detox;heart;ayurvedic","fat_loss;maintenance;heart_healthy","none","juiced+filtered","Take FRESH only; NEVER fermented lauki (toxic); good for BP","fermented lauki (toxic)","cool","easy","nothing","Pan-India"
147,"Paneer Salad","protein","veg","lunch;dinner","12-2 PM",1.0,"cup",200,14.0,6.0,14.0,1.0,0.3,280,100,100,0.0,2.0,"low",9,"dairy;protein;raw","fat_loss;maintenance;muscle_gain","dairy","raw cubed with vegetables","High protein salad; add cucumber tomato onion lemon","lactose intolerance","cool","easy","lemon dressing","Pan-India"
148,"Palak (Spinach) Smoothie","drink","veg","breakfast;snack","7-9 AM",1.0,"glass 300ml",80,5.0,12.0,1.0,3.0,2.0,120,20,350,0.0,5.0,"low",10,"leafy;iron;smoothie;low-cal","fat_loss;maintenance;anaemia","none","blended raw","Add banana+curd+spinach; iron-rich morning drink","none","cool","easy","nothing","Pan-India"
149,"Dahi Vada (steamed/baked)","protein","veg","snack","4-5 PM",2.0,"pieces",180,8.0,22.0,6.0,3.0,1.5,100,400,200,0.0,3.0,"medium",7,"dairy;lentil;probiotic","maintenance","dairy;none","steamed+curd","Steamed version; protein+probiotic; avoid fried version","lactose intolerance","cool","moderate","tamarind chutney","North India"
150,"Barnyard Millet (Sanwa)","carb","veg","breakfast;lunch","7-9 AM / 12-2 PM",1.0,"cup cooked",170,4.0,35.0,2.0,5.0,5.0,11,6,100,0.0,0.0,"low",9,"millet;gluten-free;iron-rich","fat_loss;maintenance;diabetes_friendly","none","pressure-cooked","Highest iron millet; fasting food; excellent for anaemia","none","neutral","easy","curd;dal","UP;Rajasthan;Bihar"
151,"BREAKFAST TIMING","reference","any","breakfast","6:30-9:00 AM",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference","all","none","N/A","Within 1hr of waking; never skip; activates metabolism; ideal 7-8 AM","skipping breakfast","warm","easy","N/A","Pan-India"
152,"LUNCH TIMING","reference","any","lunch","12:00-2:00 PM",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference","all","none","N/A","Largest meal of day; eat between 12-2 PM; ideal 12:30-1 PM","eating after 3 PM","neutral","moderate","N/A","Pan-India"
153,"DINNER TIMING","reference","any","dinner","7:00-8:00 PM",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference","all","none","N/A","Lightest meal; eat 2-3 hrs before sleep; ideal before 8 PM","eating after 9 PM","warm","easy","N/A","Pan-India"
154,"MORNING SNACK TIMING","reference","any","snack","10:30-11:00 AM",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference","all","none","N/A","Mid-morning snack; fruit or nuts; 150-200 cal max","none","neutral","easy","N/A","Pan-India"
155,"EVENING SNACK TIMING","reference","any","snack","4:00-5:00 PM",0.0,"",0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,"low",10,"timing;reference","all","none","N/A","Evening snack; roasted chana or nuts; 150-200 cal max; no fried snacks","none","neutral","easy","N/A","Pan-India"
